elapsed time,timestamp,topic,value
22.159,1746018920.959000000,/flightmare_control/control_delay_ms.data,21.61121368408203
22.183,1746018920.983000000,/flightmare_control/control_delay_ms.data,23.412704467773438
22.203,1746018921.003000000,/flightmare_control/control_delay_ms.data,43.49088668823242
22.248,1746018921.048000000,/flightmare_control/control_delay_ms.data,28.949737548828125
22.291,1746018921.091000000,/flightmare_control/control_delay_ms.data,46.01097106933594
22.31,1746018921.110000000,/flightmare_control/control_delay_ms.data,21.05236053466797
22.35,1746018921.150000000,/flightmare_control/control_delay_ms.data,22.7510929107666
22.393,1746018921.193000000,/flightmare_control/control_delay_ms.data,35.54821014404297
22.393,1746018921.193000000,/flightmare_control/control_delay_ms.data,31.31413459777832
22.417,1746018921.217000000,/flightmare_control/control_delay_ms.data,20.998716354370117
22.485,1746018921.285000000,/flightmare_control/control_delay_ms.data,45.89247703552246
22.512,1746018921.312000000,/flightmare_control/control_delay_ms.data,30.474185943603516
22.544,1746018921.344000000,/flightmare_control/control_delay_ms.data,22.84407615661621
22.567,1746018921.367000000,/flightmare_control/control_delay_ms.data,39.1085147857666
22.567,1746018921.367000000,/flightmare_control/control_delay_ms.data,16.660213470458984
22.62,1746018921.420000000,/flightmare_control/control_delay_ms.data,34.06476974487305
22.648,1746018921.448000000,/flightmare_control/control_delay_ms.data,16.936063766479492
22.697,1746018921.497000000,/flightmare_control/control_delay_ms.data,68.31645965576172
22.711,1746018921.511000000,/flightmare_control/control_delay_ms.data,26.75008773803711
22.755,1746018921.555000000,/flightmare_control/control_delay_ms.data,37.944793701171875
22.83,1746018921.630000000,/flightmare_control/control_delay_ms.data,67.48270988464355
22.896,1746018921.696000000,/flightmare_control/control_delay_ms.data,51.0256290435791
22.916,1746018921.716000000,/flightmare_control/control_delay_ms.data,25.49433708190918
22.933,1746018921.733000000,/flightmare_control/control_delay_ms.data,13.149738311767578
22.949,1746018921.749000000,/flightmare_control/control_delay_ms.data,17.60411262512207
22.974,1746018921.774000000,/flightmare_control/control_delay_ms.data,46.67329788208008
23.059,1746018921.859000000,/flightmare_control/control_delay_ms.data,50.48727989196777
23.059,1746018921.859000000,/flightmare_control/control_delay_ms.data,27.42600440979004
23.089,1746018921.889000000,/flightmare_control/control_delay_ms.data,18.538236618041992
23.13,1746018921.930000000,/flightmare_control/control_delay_ms.data,32.42325782775879
23.169,1746018921.969000000,/flightmare_control/control_delay_ms.data,28.287410736083984
23.193,1746018921.993000000,/flightmare_control/control_delay_ms.data,17.45462417602539
23.193,1746018921.993000000,/flightmare_control/control_delay_ms.data,39.13450241088867
23.24,1746018922.040000000,/flightmare_control/control_delay_ms.data,15.454769134521484
23.274,1746018922.074000000,/flightmare_control/control_delay_ms.data,29.893875122070312
23.274,1746018922.074000000,/flightmare_control/control_delay_ms.data,32.59587287902832
23.309,1746018922.109000000,/flightmare_control/control_delay_ms.data,25.878429412841797
23.332,1746018922.132000000,/flightmare_control/control_delay_ms.data,22.926807403564453
23.376,1746018922.176000000,/flightmare_control/control_delay_ms.data,14.292478561401367
23.405,1746018922.205000000,/flightmare_control/control_delay_ms.data,37.177324295043945
23.405,1746018922.205000000,/flightmare_control/control_delay_ms.data,19.227266311645508
23.405,1746018922.205000000,/flightmare_control/control_delay_ms.data,19.21820640563965
23.483,1746018922.283000000,/flightmare_control/control_delay_ms.data,26.790857315063477
23.483,1746018922.283000000,/flightmare_control/control_delay_ms.data,24.979352951049805
23.514,1746018922.314000000,/flightmare_control/control_delay_ms.data,27.39572525024414
23.514,1746018922.314000000,/flightmare_control/control_delay_ms.data,24.178266525268555
23.544,1746018922.344000000,/flightmare_control/control_delay_ms.data,28.2285213470459
23.576,1746018922.376000000,/flightmare_control/control_delay_ms.data,22.351980209350586
23.598,1746018922.398000000,/flightmare_control/control_delay_ms.data,23.615360260009766
23.621,1746018922.421000000,/flightmare_control/control_delay_ms.data,25.751352310180664
23.638,1746018922.438000000,/flightmare_control/control_delay_ms.data,28.748273849487305
23.671,1746018922.471000000,/flightmare_control/control_delay_ms.data,28.29718589782715
23.742,1746018922.542000000,/flightmare_control/control_delay_ms.data,47.482967376708984
23.765,1746018922.565000000,/flightmare_control/control_delay_ms.data,27.61387825012207
23.811,1746018922.611000000,/flightmare_control/control_delay_ms.data,54.77261543273926
23.827,1746018922.627000000,/flightmare_control/control_delay_ms.data,20.08819580078125
23.872,1746018922.672000000,/flightmare_control/control_delay_ms.data,25.433063507080078
23.874,1746018922.674000000,/flightmare_control/control_delay_ms.data,23.53072166442871
23.977,1746018922.777000000,/flightmare_control/control_delay_ms.data,100.60381889343262
24.004,1746018922.804000000,/flightmare_control/control_delay_ms.data,21.40974998474121
24.039,1746018922.839000000,/flightmare_control/control_delay_ms.data,35.569190979003906
24.057,1746018922.857000000,/flightmare_control/control_delay_ms.data,19.823312759399414
24.097,1746018922.897000000,/flightmare_control/control_delay_ms.data,38.53487968444824
24.111,1746018922.911000000,/flightmare_control/control_delay_ms.data,20.009994506835938
24.189,1746018922.989000000,/flightmare_control/control_delay_ms.data,47.02043533325195
24.22,1746018923.020000000,/flightmare_control/control_delay_ms.data,35.605669021606445
24.22,1746018923.020000000,/flightmare_control/control_delay_ms.data,23.773193359375
24.245,1746018923.045000000,/flightmare_control/control_delay_ms.data,18.672704696655273
24.322,1746018923.122000000,/flightmare_control/control_delay_ms.data,83.54592323303223
24.335,1746018923.135000000,/flightmare_control/control_delay_ms.data,24.1696834564209
24.349,1746018923.149000000,/flightmare_control/control_delay_ms.data,13.32402229309082
24.479,1746018923.279000000,/flightmare_control/control_delay_ms.data,120.6963062286377
24.515,1746018923.315000000,/flightmare_control/control_delay_ms.data,21.93140983581543
24.541,1746018923.341000000,/flightmare_control/control_delay_ms.data,25.68364143371582
24.564,1746018923.364000000,/flightmare_control/control_delay_ms.data,21.594524383544922
24.619,1746018923.419000000,/flightmare_control/control_delay_ms.data,47.347307205200195
24.648,1746018923.448000000,/flightmare_control/control_delay_ms.data,39.90030288696289
24.686,1746018923.486000000,/flightmare_control/control_delay_ms.data,26.317358016967773
24.686,1746018923.486000000,/flightmare_control/control_delay_ms.data,21.802663803100586
24.732,1746018923.532000000,/flightmare_control/control_delay_ms.data,16.83783531188965
24.773,1746018923.573000000,/flightmare_control/control_delay_ms.data,65.57679176330566
24.8,1746018923.600000000,/flightmare_control/control_delay_ms.data,41.81838035583496
24.876,1746018923.676000000,/flightmare_control/control_delay_ms.data,35.68601608276367
24.932,1746018923.732000000,/flightmare_control/control_delay_ms.data,26.55506134033203
24.932,1746018923.732000000,/flightmare_control/control_delay_ms.data,31.220674514770508
24.957,1746018923.757000000,/flightmare_control/control_delay_ms.data,26.97443962097168
24.957,1746018923.757000000,/flightmare_control/control_delay_ms.data,17.40884780883789
24.978,1746018923.778000000,/flightmare_control/control_delay_ms.data,38.4068489074707
25.002,1746018923.802000000,/flightmare_control/control_delay_ms.data,19.26589012145996
25.024,1746018923.824000000,/flightmare_control/control_delay_ms.data,33.38122367858887
25.067,1746018923.867000000,/flightmare_control/control_delay_ms.data,18.545866012573242
25.093,1746018923.893000000,/flightmare_control/control_delay_ms.data,31.261444091796875
25.093,1746018923.893000000,/flightmare_control/control_delay_ms.data,21.489381790161133
25.164,1746018923.964000000,/flightmare_control/control_delay_ms.data,20.86043357849121
25.164,1746018923.964000000,/flightmare_control/control_delay_ms.data,32.384634017944336
25.184,1746018923.984000000,/flightmare_control/control_delay_ms.data,21.494626998901367
25.223,1746018924.023000000,/flightmare_control/control_delay_ms.data,18.26953887939453
25.252,1746018924.052000000,/flightmare_control/control_delay_ms.data,28.35536003112793
25.279,1746018924.079000000,/flightmare_control/control_delay_ms.data,44.26169395446777
25.373,1746018924.173000000,/flightmare_control/control_delay_ms.data,51.541805267333984
25.414,1746018924.214000000,/flightmare_control/control_delay_ms.data,26.61299705505371
25.414,1746018924.214000000,/flightmare_control/control_delay_ms.data,28.194665908813477
25.468,1746018924.268000000,/flightmare_control/control_delay_ms.data,77.76713371276855
25.489,1746018924.289000000,/flightmare_control/control_delay_ms.data,22.81928062438965
25.574,1746018924.374000000,/flightmare_control/control_delay_ms.data,68.88008117675781
25.599,1746018924.399000000,/flightmare_control/control_delay_ms.data,46.56028747558594
25.625,1746018924.425000000,/flightmare_control/control_delay_ms.data,31.420469284057617
25.649,1746018924.449000000,/flightmare_control/control_delay_ms.data,26.81279182434082
